index,en,zh-tw
451,terminating pins,端接銷
452,zipper teeth,拉鍊齒
453,circumference,圓周
454,periphery,周邊
455,acoustic guitar,原聲吉他
456,end pin,端銷
457,end wall,端牆
458,guitar strap attachment,吉他背帶附件
459,musical instrument,樂器
460,pinball,彈球
461,safety pin,安全別針
462,screw end pin,螺絲端銷
463,screw end pins,螺釘端銷
464,screw mounting pins,螺釘安裝銷
465,screw pins,螺絲銷
466,six strings,六弦
467,synthetic knob,合成旋鈕
468,synthetic pin,合成針
469,wood pin,木別針
470,support pins,支撐銷
471,top pins,頂針
472,storage spring,儲存彈簧
473,energy storing spring,儲能彈簧
474,flexible element,彈性元件
475,pawl,棘爪
476,bracelet,手鐲
477,clockwork spring,發條彈簧
478,date,日期
479,elastic energy storage,彈性儲能
480,energy cell,能量電池
481,energy discharge spring,能量釋放彈簧
482,energy storage mechanism,儲能機制
483,escape mechanism,逃生機制
484,escape motor,逃生馬達
485,escapement mechanism,擒縱機構
486,power bank storage,移動電源存儲
487,rotary position spring,旋轉位置彈簧
488,spring drive,彈簧驅動
489,spring energy,彈簧能量
490,spring release energy,彈簧釋放能量
491,spring season,春暖花開的季節
492,storage container,儲存容器
493,cage drive mechanism,籠式驅動機構
494,closing spring,閉合彈簧
495,detent spring,止動彈簧
496,drive mechanism,驅動機構
497,drive system,驅動系統
498,driving mechanism,驅動機構
499,driving system,驅動系統
0,opening means,開啟方式
1,opening spring,開啟彈簧
2,resilient spring,彈性彈簧
3,actuating device provided,提供驅動裝置
4,additional spring,附加彈簧
5,discharge circuit,放電電路
6,electromagnetic spring,電磁彈簧
7,impulse,衝動
8,impulse spring,脈衝彈簧
9,leaf spring,板簧
10,locking device provided,提供鎖定裝置
11,memory spring,記憶彈簧
12,release energy,釋放能量
13,rotating spring,旋轉彈簧
14,spiral power spring,螺旋動力彈簧
15,spring tension,彈簧拉力
16,storage capacity,存儲容量
17,vehicle spring,車輛彈簧
18,attaching unit,連接單元
19,bolt rifle,商店步槍
20,clamping member,夾持件
21,connecting sockets,連接插座
22,disconnect clamp,斷開夾
23,disengage clamp,脫離夾子
24,disengage clamps,脫離夾子
25,disengage from clamp,脫離夾子
26,disengage toward clamp,向夾子脫離
27,electric control board,電控板
28,engage,從事
29,engage about clamp,接合夾具
30,engage about clamping,從事夾緊
31,engage clamping,接合夾緊
32,engage clamps,接合夾具
33,engage with clamp,與夾具嚙合
34,engage with clamping,與夾緊嚙合
35,fixture unit,夾具單元
36,move from clamp,從夾具移動
37,move from clamps,從夾子上移開
38,move toward clamp,向夾子移動
39,move toward clamps,向夾子移動
40,nut and bolt,螺母和螺栓
41,occupy clamp,佔位夾
42,receive,收到
43,receive about clamp,收到關於夾子
44,receive clamp,接收夾
45,receive clamping,接收夾緊
46,receive with clamp,用夾子接收
47,receive with clamping,夾緊接收
48,screw engagement type clamping,螺紋嚙合式夾緊
49,cam device,凸輪裝置
50,deep hole boring tool,深孔鏜刀
51,engage finger,接合手指
52,engage in guide groove,嚙合導槽
53,engage in guide slit,接合導縫
54,engage in guide slot,嚙合導槽
55,engage in slot,參與插槽
56,engage longitudinal slot,接合縱向槽
57,engage the guide surface,接合導向面
58,engage with guide slot,與導向槽嚙合
59,engage with slot,與槽嚙合
60,engage within slot,在槽內嚙合
61,engaging the guide rail slot,卡入導軌槽
62,guide community,指導社區
63,guide slot,導向槽
64,guide therapeutics,指導治療
65,headed studs,帶頭螺柱
66,multiaxial material machining station,多軸材料加工站
67,slot booking system,訂票系統
68,target materials,目標材料
69,time slot,時隙
70,travel guide,旅遊指南
71,block chain,區塊鏈
72,block diagram,框圖
73,carving machine,雕刻機
74,causes of heart block,心臟傳導阻滯的原因
75,combine with blocks,與塊結合
76,connect with blocks,與塊連接
77,equip scheme,裝備方案
78,equip with blocks,配備積木
79,equip with wooden blocks,配備木塊
80,equipped with blocks,配備積木
81,gym equipment,健身器材
82,heart block treatment,心臟傳導阻滯治療
83,provide with blocks,提供積木
84,resistance welding of aluminum,鋁的電阻焊
85,rotary slot cutting tool,旋轉開槽刀具
86,set up with blocks,用塊設置
87,stock up with blocks,囤積積木
88,supply with blocks,供應塊
89,tables,表
90,vacuum brazing furnace,真空釬焊爐
91,blockchain cloud service,區塊鏈雲服務
92,blocks system,塊系統
93,equip program,裝備程序
94,equip protein,裝備蛋白質
95,fix with blocks,用塊修復
96,prepare with blocks,用塊準備
97,process for preserving wood,木材防腐工藝
98,wood impregnation agent,木材浸漬劑
99,wooden poles,木桿
100,device unit,裝置單元
101,equipment,設備
102,equipment device,設備裝置
103,equipment device unit,設備裝置單元
104,facility,設施
105,analyser,分析儀
106,analyser module,分析器模塊
107,analyser storage module,分析儀存儲模塊
108,analyser system,分析系統
109,analyzer,分析儀
110,analyzer module,分析器模塊
111,analyzer system,分析系統
112,lawn,草地
113,lawn mower,割草機
114,user equipment unit,用戶設備單元
115,connection device,連接裝置
116,connection unit,連接單元
117,device cleansing,設備清洗
118,device module,設備模塊
119,electronic elements,電子元件
120,equipment module,設備模塊
121,main road,主路
122,main software,主要軟件
123,main unit,主機
124,mechanical box,機械箱
125,module station,模塊站
126,module unit,模塊單元
127,service unit,服務單位
128,source device,源設備
129,source unit,源單元
130,sports equipment,體育器材
131,supply device,供給裝置
132,test device,測試裝置
133,unit circle,單位圓
134,unit fraction,單位分數
135,voltage signal,電壓信號
136,apparatus control device,儀器控制裝置
137,apparatus detecting,儀器檢測
138,apparatus detection,儀器檢測
139,apparatus management device,儀器管理裝置
140,appliance apparatus,器具器具
141,appliance device,器具設備
142,devices in order,設備有序
143,devices so order,設備所以訂購
144,farm equipment,農用設備
145,gadgets,小工具
146,hardware equipment,硬件設備
147,load,加載
148,load device,負載裝置
149,load devices,負載設備
150,loads,負載
151,loads in order,按順序加載
152,loads so order,加載所以訂購
153,manufacturing plant,製造工廠
154,medical equipment,醫療器材
155,power apparatus,電力設備
156,power control apparatus,電源控制裝置
157,power control device,電源控制裝置
158,power detecting apparatus,功率檢測裝置
159,power detection,功率檢測
160,power detection apparatus,功率檢測儀
161,power devices,電力設備
162,power management apparatus,電源管理裝置
163,power management device,電源管理裝置
164,production equipment,生產設備
165,storage apparatus,存儲設備
166,storage device,儲存設備
167,technical apparatus,技術設備
168,terminal unit,終端單元
169,active metal,活性金屬
170,active oxide,活性氧化物
171,anhydrous,無水
172,atom,原子
173,atom molar,原子摩爾
174,atom to molar,原子到摩爾
175,atom to weight,原子重量
176,atom weight,原子量
177,atomic,原子
178,atomic metal,原子金屬
179,atomic molar,原子摩爾
180,atomic mole,原子摩爾
181,atomic to molar,原子到摩爾
182,atomic weight,原子重量
183,configurations,配置
184,equivalent,相等的
185,equivalent molar amount,當量摩爾量
186,equivalent molar mass,當量摩爾質量
187,equivalent molar weight,當量摩爾重量
188,equivalent mole,當量摩爾
189,equivalent rational numbers,等價有理數
190,equivalent weight,當量重量
191,equivalents base,等價基數
192,molar conductivity,摩爾電導率
193,molar equivalent,摩爾當量
194,molar equivalent amount,摩爾當量
195,molar equivalent dose,摩爾當量劑量
196,molar mass,摩爾質量
197,molar pregnancy,葡萄胎妊娠
198,molar teeth,臼齒
199,mole equivalent,摩爾當量
200,moles ratio,摩爾比
201,muscle endurance,肌肉耐力
202,oxide by weight,按重量計的氧化物
203,oxide metal,氧化物金屬
204,oxide to weight,氧化物重量比
205,oxide weight,氧化物重量
206,pivalic acid anhydride,新戊酸酐
207,proportion,部分
208,quantity,數量
209,semantic searching,語義搜索
210,weight by ions,離子重量
211,acid molar,酸摩爾
212,acid to molar,酸摩爾數
213,acid to weight,酸重
214,acid weight,酸重
215,amount of substance,物質的量
216,average molar,平均摩爾
217,average mole,平均摩爾
218,body mass,身體質量
219,body weight,體重
220,equalizer amplifier,均衡器放大器
221,equalizer valve,平衡閥
222,equilibrium molar,平衡磨牙
223,equilibrium mole,平衡摩爾
224,equivalent amount,等量
225,equivalent mass,等效質量
226,equivalent molar ratio,當量摩爾比
227,equivalent molar solution,當量摩爾溶液
228,equivalent molarity,等效摩爾濃度
229,equivalent weights,等效重量
230,french equivalent,相當於法語
231,masses,群眾
232,mol,摩爾
233,molality,摩爾濃度
234,molar,磨牙
235,molar masses,摩爾質量
236,moles equivalent,摩爾當量
237,to molar,磨牙
238,to weight,稱重
239,unit of measurement,測量單位
240,volumetric,容積式
241,actual consumption amount,實際消費金額
242,calculated amount,計算金額
243,computed amount,計算金額
244,consumption calculation,消耗計算
245,cost,成本
246,current amount,當前金額
247,current quantity,當前數量
248,determine amount,確定金額
249,determine estimated amount,確定估計金額
250,engine with rotary pistons,帶旋轉活塞的發動機
251,estimated amount,估計金額
252,estimated blood flow rate,估計的血流量
253,estimated blood pressure value,估計的血壓值
254,estimated brain activity signal,估計的大腦活動信號
255,estimated capacity,估計容量
256,estimated level,估計水平
257,estimated maximum amount,估計最高金額
258,estimated maximum capacity,估計最大容量
259,estimated quantity,估計數量
260,estimated rate,估計率
261,estimation amount,估計金額
262,fuel injection nozzle,噴油嘴
263,level sensor,液位傳感器
264,maximum amount,最高金額
265,maximum capacity,最大容量
266,maximum estimated amount,最高估計金額
267,measured level,測量水平
